gene_symbol,epmc_pmid,epmc_year,epmc_cited_by,epmc_paper_count,epmc_title,member_class,reversal_score_wilcoxon,q_value,average_rank,paperclip_pmcid,paperclip_year,paperclip_title,NOT_A_VERDICT
CHAC1,33268902,2021,3413,846,Ferroptosis: molecular mechanisms and health implications.,perturbed_no_detected_move,0.6209361949336025,0.804140974068829,4525.0,PMC11554486,2024,CHAC1: a master regulator of oxidative stress and ferroptosis in human diseases and cancers,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CKS1B,31474370,2019,763,147,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to An,never_perturbed,,,,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CNOT2,19396146,2009,320,60,Discovery of insect and human dengue virus host factors.,perturbed_no_detected_move,2.1594011347978586,0.2099667543146426,2208.3333333333335,PMC11850225,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CNOT4,32475992,2020,184,88,PROteolysis TArgeting Chimeras (PROTACs) as emerging anticancer therapeutics.,perturbed_no_detected_move,-1.136357237679653,0.5853393174072735,9330.333333333334,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CNOT6,31292544,2019,602,198,m&lt;sup&gt;6&lt;/sup&gt;A enhances the phase separation potential of mRNA.,perturbed_no_detected_move,-2.0594750846727496,0.2394953669665745,10638.666666666666,PMC11850225,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CXXC1,31237565,2019,123,37,Unified single-cell analysis of testis gene regulation and pathology in five mouse strains.,perturbed_moves_program,3.4440667976451587,0.0220178089220588,835.3333333333334,PMC12242609,2025,The Role of ER Stress and the Unfolded Protein Response in Cancer,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DCP1A,24598541,2014,783,186,C9orf72 nucleotide repeat structures initiate molecular cascades of disease.,perturbed_no_detected_move,-0.7857872832398365,0.7386274965215078,8230.333333333334,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DCP2,26799652,2016,4317,310,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,0.969153623271797,0.6602649060700119,4103.0,PMC11850225,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DCTN1,33634751,2021,2271,416,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.,perturbed_no_detected_move,0.7204829012707443,0.763540833860999,3687.3333333333335,PMC12088515,2025,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DDIT4,26799652,2016,4317,854,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,-2.865376791775269,0.0692630274034873,10928.666666666666,PMC11939615,2025,The PERK-eIF2α-ATF4 Axis Is Involved in Mediating ER-Stress-Induced Ferroptosis via DDIT4-mTORC1 Inhibition and Acetaminophen-Induced Hepatotoxicity,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DDX10,29125603,2018,507,59,Cell cycle arrest through indirect transcriptional repression by p53: I have a DREAM.,perturbed_no_detected_move,2.8194154021972886,0.0749150780102953,3560.6666666666665,PMC11850225,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DKC1,31953710,2020,764,313,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi,perturbed_no_detected_move,2.4701524067028178,0.1344303470899669,2993.3333333333335,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DNAJA4,16952052,2006,647,269,The diversity of the DnaJ/Hsp40 family; the crucial partners for Hsp70 chaperones.,never_perturbed,,,,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DNAJB9,32457508,2020,2205,685,Mechanisms; regulation and functions of the unfolded protein response.,perturbed_no_detected_move,-1.3831434311459965,0.48887620283432,9477.0,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
DNAJC3,14559994,2003,1727,790,XBP-1 regulates a subset of endoplasmic reticulum resident chaperone genes in the unfolded protein response.,perturbed_no_detected_move,2.4632690895906655,0.1360809960135242,1196.3333333333333,PMC12805106,2025,The role of DNAJC3 in enhancing glioma progression and regulating the tumor immune microenvironment,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EDC4,31292544,2019,602,96,m&lt;sup&gt;6&lt;/sup&gt;A enhances the phase separation potential of mRNA.,perturbed_no_detected_move,0.0628723914907827,0.985301744385996,6712.333333333333,PMC11850225,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EDEM1,22722607,2012,1329,1052,Vertebrate protein glycosylation: diversity; synthesis and function.,perturbed_no_detected_move,-0.2905369735502838,0.9192467517292432,6888.333333333333,PMC12305169,2025,EDEM1 Inhibits Endoplasmic Reticulum Stress to Induce Doxorubicin Resistance through Accelerating ERAD and Activating Keap1/Nrf2 Antioxidant Pathway i,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EEF2,22500797,2012,6836,1278,mTOR signaling in growth control and disease.,perturbed_no_detected_move,1.297461710342563,0.5209064852131672,2617.3333333333335,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EIF2AK3,29362479,2018,5207,2255,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.,perturbed_no_detected_move,-0.3991067956033053,0.8862183969706481,6946.333333333333,PMC11470120,2024,The Role of ER Stress and the Unfolded Protein Response in Cancer,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EIF2S1,29362479,2018,5207,1031,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.,perturbed_no_detected_move,-0.4712893956915535,0.8587092204026184,10084.333333333334,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EIF4A1,33268902,2021,3413,412,Ferroptosis: molecular mechanisms and health implications.,perturbed_no_detected_move,-0.7355564944403947,0.7568426990959676,5881.0,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EIF4A2,32144406,2020,984,333,Cellular adaptation to hypoxia through hypoxia inducible factors and beyond.,perturbed_no_detected_move,-0.9411687654832968,0.6739602291536362,9321.0,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EIF4A3,24987004,2014,954,345,Selenoproteins: molecular pathways and physiological roles.,perturbed_no_detected_move,-2.0435610069420775,0.2440737657415059,10910.0,PMC12242609,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EIF4E,22500797,2012,6836,2984,mTOR signaling in growth control and disease.,perturbed_moves_program,3.9482794085902944,0.0063240600973795,216.33333333333337,PMC11578187,2024,Hepatovirus translation requires PDGFA-associated protein 1; an eIF4E-binding protein regulating endoplasmic reticulum stress responses,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EIF4EBP1,22500797,2012,6836,1613,mTOR signaling in growth control and disease.,perturbed_no_detected_move,-0.5786778557007678,0.8181916656561361,4674.666666666667,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EIF4G1,20094052,2010,2175,547,The mechanism of eukaryotic translation initiation and principles of its regulation.,perturbed_moves_program,4.600103399932227,0.0011567929429698,107.66666666666669,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ERN1,22116877,2011,4713,2523,The unfolded protein response: from stress pathway to homeostatic regulation.,perturbed_no_detected_move,0.0010455671562763,0.9996097135429878,5593.666666666667,PMC12239684,2025,Endoplasmic Reticulum Stress and Unfolded Protein Response Sensor  ERN1  Regulates Organic Dust Induction of Lung Inflammation,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ERO1A,14757749,2004,786,405,Oxidative protein folding in eukaryotes: mechanisms and consequences.,never_perturbed,,,,PMC11833095,2025,Small molecule-mediated inhibition of the oxidoreductase ERO1A restrains aggressive breast cancer by impairing VEGF and PD-L1 in the tumor microenviro,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EXOC2,26799652,2016,4317,46,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,-0.8852904242788001,0.6986751297601526,8583.666666666666,PMC12304649,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EXOSC1,30265241,2018,303,33,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis,perturbed_no_detected_move,2.5609354501684516,0.1162444177453818,1235.6666666666667,PMC11850225,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EXOSC10,26308899,2015,720,66,GGGGCC repeat expansion in C9orf72 compromises nucleocytoplasmic transport.,perturbed_no_detected_move,2.070527926514371,0.2363806598745605,3047.6666666666665,PMC12242609,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EXOSC2,27259150,2016,403,49,Modulated Expression of Specific tRNAs Drives Gene Expression and Cancer Progression.,perturbed_moves_program,4.299459277204605,0.0026771419463333,1414.0,PMC12242609,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EXOSC4,30265241,2018,303,35,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis,perturbed_moves_program,3.7422132755727886,0.0105906366513969,1642.6666666666667,PMC12154690,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EXOSC5,30265241,2018,303,46,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis,perturbed_moves_program,3.250232635881313,0.0339834336591209,1385.6666666666667,PMC11850225,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
EXOSC9,29125603,2018,507,66,Cell cycle arrest through indirect transcriptional repression by p53: I have a DREAM.,perturbed_moves_program,3.1078612414350197,0.0445699781690658,1551.0,PMC12242609,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
FKBP14,19420237,2009,232,110,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.,perturbed_no_detected_move,0.2631779662943866,0.925609989403708,5279.666666666667,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
FUS,26799652,2016,4317,4075,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,-1.0358085294844126,0.6288469966872267,5166.666666666667,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
GEMIN4,18485868,2008,521,50,SMN deficiency causes tissue-specific perturbations in the repertoire of snRNAs and widespread defects in splicing.,perturbed_no_detected_move,1.0110773566465514,0.64117180433082,1840.3333333333333,PMC12242609,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
GOSR2,39866113,2025,748,87,2025 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association.,perturbed_no_detected_move,-1.1603181516776515,0.5752302300967084,9697.0,PMC12794328,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
H2AX,24999379,2014,3798,2910,Lipid peroxidation: production; metabolism; and signaling mechanisms of malondialdehyde and 4-hydroxy-2-nonenal.,never_perturbed,,,,PMC12571189,2025,Inhibition of Histone Deacetylases Induces Cancer Cell Apoptosis Through the PERK Pathway of ER Stress Response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
HERPUD1,29608179,2018,11270,969,Integrating single-cell transcriptomic data across different conditions; technologies; and species.,perturbed_no_detected_move,-0.8482599208273469,0.715782001745018,7956.666666666667,PMC12589607,2025,HERPUD1 mediates palmitic acid-induced UPR sustaining TNBC aggressiveness and is destabilized by CK2 pharmacological inhibition,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
HSP90B1,31474370,2019,763,1752,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to An,perturbed_no_detected_move,0.7288474385209549,0.7588053075153927,4379.666666666667,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
HSPA5,31740819,2019,9217,9028,Fast; sensitive and accurate integration of single-cell data with Harmony.,perturbed_no_detected_move,-2.9394041213739945,0.0606698953319595,11221.0,PMC12242609,2025,The Role of ER Stress and the Unfolded Protein Response in Cancer,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
HSPA9,29362479,2018,5207,1233,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.,perturbed_no_detected_move,0.3451242921675436,0.9025203699228668,8727.666666666666,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
HYOU1,31953710,2020,764,786,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi,perturbed_no_detected_move,0.8045639267546322,0.7315574192515789,4775.0,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
IARS1,35501376,2022,60,43,Functional and pathologic association of aminoacyl-tRNA synthetases with cancer.,never_perturbed,,,,PMC12242609,2025,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
IFIT1,29608179,2018,11270,837,Integrating single-cell transcriptomic data across different conditions; technologies; and species.,never_perturbed,,,,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
IGFBP1,18522489,2008,1272,459,Redox regulation of cell survival.,never_perturbed,,,,PMC11739220,2024,IGFBP6 Modulates Proteostasis by Activating ATF4 Targets and Reducing ER Retrotranslocon Expression,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
IMP3,33391635,2020,248,102,RNA packaging into extracellular vesicles: An orchestra of RNA-binding proteins?,perturbed_no_detected_move,2.2217430764908346,0.1931461080251544,1216.3333333333333,PMC12242609,2025,The Role of ER Stress and the Unfolded Protein Response in Cancer,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
KDELR3,19420237,2009,232,127,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.,perturbed_no_detected_move,0.0154656808532539,0.9961551473312552,6585.0,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
KHSRP,30181377,2019,447,141,What Are 3' UTRs Doing?,perturbed_no_detected_move,1.9945936117898029,0.2606783327609439,1044.6666666666667,PMC11850225,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
KIF5B,29950571,2018,519,447,Mitochondrial dynamics in adaptive and maladaptive cellular stress responses.,perturbed_no_detected_move,-0.89221657111253,0.6959636183307538,5710.333333333333,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
LSM1,23629963,2013,803,181,Stress granules as crucibles of ALS pathogenesis.,perturbed_no_detected_move,-0.3394608034043802,0.9043133769489315,5833.333333333333,PMC12242609,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
LSM4,23629963,2013,803,120,Stress granules as crucibles of ALS pathogenesis.,perturbed_no_detected_move,0.7255364758594133,0.760346345890216,3446.6666666666665,PMC12242609,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
MTHFD2,26771115,2016,4497,588,The Emerging Hallmarks of Cancer Metabolism.,perturbed_moves_program,3.799765307100878,0.0092120451611037,341.3333333333333,PMC12032361,2025,Targeting MTHFD2 alters metabolic homeostasis and synergizes with bortezomib to inhibit multiple myeloma,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
MTREX,25064072,2014,173,20,The SKIV2L RNA exosome limits activation of the RIG-I-like receptors.,perturbed_no_detected_move,1.4972086024895193,0.4409295403250539,2877.6666666666665,PMC12242609,2025,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
NABP1,19381306,2009,536,32,Retinoid-related orphan receptors (RORs): critical roles in development; immunity; circadian rhythm; and cellular metabo,perturbed_no_detected_move,1.6594457729050625,0.383943303743108,1895.3333333333333,PMC11581032,2024,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
NFYA,30567491,2018,1402,174,iDEP: an integrated web application for differential expression and pathway analysis of RNA-Seq data.,perturbed_no_detected_move,0.697916076814447,0.7732204844355959,3850.3333333333335,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
NFYB,10958673,2000,764,208,ATF6 activated by proteolysis binds in the presence of NF-Y (CBF) directly to the cis-acting element responsible for the,perturbed_no_detected_move,2.9596085317346725,0.0587017775464045,535.3333333333334,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
