mapping,family,set_token,size,hits
A1 SMPDB x MW-union(all human studies),smpdb,set_7611dca40a,24,22
A1 SMPDB x MW-union(all human studies),smpdb,set_306c9f6cd5,21,17
A1 SMPDB x MW-union(all human studies),smpdb,set_dcac348055,23,10
A1 SMPDB x MW-union(all human studies),smpdb,set_8dc114a9ed,29,22
A1 SMPDB x MW-union(all human studies),smpdb,set_b8bafd02ba,42,29
A1 SMPDB x MW-union(all human studies),smpdb,set_6ff8c01e5e,30,21
A1 SMPDB x MW-union(all human studies),smpdb,set_97bf5c8dbb,58,48
A1 SMPDB x MW-union(all human studies),smpdb,set_d8299a4fe5,37,26
A1 SMPDB x MW-union(all human studies),smpdb,set_a84483e0f0,73,54
A1 SMPDB x MW-union(all human studies),smpdb,set_923880e871,43,18
A1 SMPDB x MW-union(all human studies),smpdb,set_d968f73897,14,11
A1 SMPDB x MW-union(all human studies),smpdb,set_4155aad91f,29,20
A1 SMPDB x MW-union(all human studies),smpdb,set_d997a612d8,34,13
A1 SMPDB x MW-union(all human studies),smpdb,set_d786d26975,17,14
A1 SMPDB x MW-union(all human studies),smpdb,set_1d6e8ac05b,33,26
A1 SMPDB x MW-union(all human studies),smpdb,set_a68d7485f6,30,22
A1 SMPDB x MW-union(all human studies),smpdb,set_5bbb159ce1,27,21
A1 SMPDB x MW-union(all human studies),smpdb,set_15ceb8b840,44,32
A1 SMPDB x MW-union(all human studies),smpdb,set_e0c210b392,61,46
A1 SMPDB x MW-union(all human studies),smpdb,set_20f50bea95,30,20
A1 SMPDB x MW-union(all human studies),smpdb,set_0aff08fe79,19,6
A1 SMPDB x MW-union(all human studies),smpdb,set_007eaa1a85,7,4
A1 SMPDB x MW-union(all human studies),smpdb,set_3944272443,33,25
A1 SMPDB x MW-union(all human studies),smpdb,set_4c4dde4cee,31,20
A1 SMPDB x MW-union(all human studies),smpdb,set_e8b09d796f,19,12
A1 SMPDB x MW-union(all human studies),smpdb,set_fb49fea8a3,13,11
A1 SMPDB x MW-union(all human studies),smpdb,set_e6f8cfb763,49,37
A1 SMPDB x MW-union(all human studies),smpdb,set_928b2c583e,19,15
A1 SMPDB x MW-union(all human studies),smpdb,set_26e5cf99ef,28,14
A1 SMPDB x MW-union(all human studies),smpdb,set_29ebf3f3da,67,44
A1 SMPDB x MW-union(all human studies),smpdb,set_501cd3859e,9,7
A1 SMPDB x MW-union(all human studies),smpdb,set_af90147001,23,15
A1 SMPDB x MW-union(all human studies),smpdb,set_49e86234df,10,10
A1 SMPDB x MW-union(all human studies),smpdb,set_dda94f81b4,9,6
A1 SMPDB x MW-union(all human studies),smpdb,set_32901117b9,11,8
A1 SMPDB x MW-union(all human studies),smpdb,set_3b7769be62,31,25
A1 SMPDB x MW-union(all human studies),smpdb,set_fd311e4727,10,8
A1 SMPDB x MW-union(all human studies),smpdb,set_5f262e7d07,42,25
A1 SMPDB x MW-union(all human studies),smpdb,set_e6b18b1d2f,19,13
A1 SMPDB x MW-union(all human studies),smpdb,set_f314f1647f,17,10
A1 SMPDB x MW-union(all human studies),smpdb,set_966d757772,18,12
A1 SMPDB x MW-union(all human studies),smpdb,set_674ec21534,18,10
A1 SMPDB x MW-union(all human studies),smpdb,set_a008ea69fd,24,14
A1 SMPDB x MW-union(all human studies),smpdb,set_bde45c348a,18,15
A1 SMPDB x MW-union(all human studies),smpdb,set_20adf3af55,8,6
A1 SMPDB x MW-union(all human studies),smpdb,set_aa627ee9ea,35,28
A1 SMPDB x MW-union(all human studies),smpdb,set_77ee06219f,8,5
A1 SMPDB x MW-union(all human studies),smpdb,set_62e609c277,9,6
A1 SMPDB x MW-union(all human studies),smpdb,set_f4b9260b4b,20,9
A1 SMPDB x MW-union(all human studies),smpdb,set_e5b926ced6,19,6
A1 SMPDB x MW-union(all human studies),smpdb,set_4d9c07d737,12,7
A1 SMPDB x MW-union(all human studies),smpdb,set_6df9eeb96b,20,15
A1 SMPDB x MW-union(all human studies),smpdb,set_e3cebc5231,22,17
A1 SMPDB x MW-union(all human studies),smpdb,set_e5e97c1720,9,6
A1 SMPDB x MW-union(all human studies),smpdb,set_0cc612debf,10,1
A1 SMPDB x MW-union(all human studies),smpdb,set_c04495224e,18,8
A1 SMPDB x MW-union(all human studies),smpdb,set_4d4c6aa3d4,19,11
A1 SMPDB x MW-union(all human studies),smpdb,set_f31d7f72d0,25,11
A1 SMPDB x MW-union(all human studies),smpdb,set_5a2792f9ed,27,13
A1 SMPDB x MW-union(all human studies),smpdb,set_2449669e02,57,44
A1 SMPDB x MW-union(all human studies),smpdb,set_cc3c0c7380,4,4
A1 SMPDB x MW-union(all human studies),smpdb,set_04adb3a3ac,13,7
A1 SMPDB x MW-union(all human studies),smpdb,set_c0c8e93789,15,12
A1 SMPDB x MW-union(all human studies),smpdb,set_72f4cd6e8d,9,6
A1 SMPDB x MW-union(all human studies),smpdb,set_15e079b75b,11,8
A1 SMPDB x MW-union(all human studies),smpdb,set_056f221c55,12,9
A1 SMPDB x MW-union(all human studies),smpdb,set_187a2777ed,21,15
A1 SMPDB x MW-union(all human studies),smpdb,set_60b84238d1,24,15
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_6a07e89aca,17,11
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_1e739fc094,18,12
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_ad39336678,18,13
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_cebba23029,12,7
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_12e6179242,11,7
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_d968f73897,14,11
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_d786d26975,17,14
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_0aff08fe79,19,6
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_007eaa1a85,7,4
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_e8b09d796f,19,12
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_fb49fea8a3,13,11
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_928b2c583e,19,15
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_501cd3859e,9,7
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_49e86234df,10,10
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_dda94f81b4,9,6
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_32901117b9,11,8
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_fd311e4727,10,8
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_e6b18b1d2f,19,13
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_f314f1647f,17,10
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_966d757772,18,12
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_674ec21534,18,10
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_bde45c348a,18,15
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_20adf3af55,8,6
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_77ee06219f,8,5
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_62e609c277,9,6
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_e5b926ced6,19,6
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_4d9c07d737,12,7
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_e5e97c1720,9,6
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_0cc612debf,10,1
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_c04495224e,18,8
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_4d4c6aa3d4,19,11
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_cc3c0c7380,4,4
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_04adb3a3ac,13,7
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_c0c8e93789,15,12
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_72f4cd6e8d,9,6
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_15e079b75b,11,8
A1 SMPDB x MW-union(all human studies) :: size_lt20,smpdb,set_056f221c55,12,9
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_6cedf5e797,21,11
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_88b55fb0f6,34,23
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_62f7838c4b,27,15
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_8f14919c57,30,23
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_ee5450b2bd,29,10
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_dc3ecf91c4,26,13
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_91963c7ed3,25,17
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_cafeb96a19,20,11
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_4138901fbd,40,17
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_2a8a0c2c46,29,21
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_92fd5187ca,21,15
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_ebe56592ba,25,18
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_f6749acc3e,28,13
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_02ce992066,26,14
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_6c6f6fe984,27,19
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_3ad12c9721,39,27
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_c73206817a,27,21
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_7611dca40a,24,22
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_306c9f6cd5,21,17
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_dcac348055,23,10
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_8dc114a9ed,29,22
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_6ff8c01e5e,30,21
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_d8299a4fe5,37,26
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_4155aad91f,29,20
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_d997a612d8,34,13
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_1d6e8ac05b,33,26
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_a68d7485f6,30,22
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_5bbb159ce1,27,21
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_20f50bea95,30,20
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_3944272443,33,25
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_4c4dde4cee,31,20
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_26e5cf99ef,28,14
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_af90147001,23,15
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_3b7769be62,31,25
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_a008ea69fd,24,14
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_aa627ee9ea,35,28
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_f4b9260b4b,20,9
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_6df9eeb96b,20,15
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_e3cebc5231,22,17
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_f31d7f72d0,25,11
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_5a2792f9ed,27,13
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_187a2777ed,21,15
A1 SMPDB x MW-union(all human studies) :: size_20to40,smpdb,set_60b84238d1,24,15
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_2ea504427c,55,43
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_2269f3f803,66,48
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_fe4be9692e,41,30
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_17971c5e65,51,40
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_0c94cdb580,47,34
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_144dc4b8a3,59,36
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_36e1adacc2,43,32
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_b2e59f9fd9,64,41
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_b8bafd02ba,42,29
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_97bf5c8dbb,58,48
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_a84483e0f0,73,54
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_923880e871,43,18
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_15ceb8b840,44,32
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_e0c210b392,61,46
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_e6f8cfb763,49,37
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_29ebf3f3da,67,44
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_5f262e7d07,42,25
A1 SMPDB x MW-union(all human studies) :: size_gt40,smpdb,set_2449669e02,57,44
A2 SMPDB x MW-single-broadest-study,smpdb,set_2ea504427c,55,11
A2 SMPDB x MW-single-broadest-study,smpdb,set_6cedf5e797,21,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_2269f3f803,66,22
A2 SMPDB x MW-single-broadest-study,smpdb,set_88b55fb0f6,34,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_62f7838c4b,27,7
A2 SMPDB x MW-single-broadest-study,smpdb,set_8f14919c57,30,9
A2 SMPDB x MW-single-broadest-study,smpdb,set_6a07e89aca,17,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_ee5450b2bd,29,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_1e739fc094,18,6
A2 SMPDB x MW-single-broadest-study,smpdb,set_dc3ecf91c4,26,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_91963c7ed3,25,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_fe4be9692e,41,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_cafeb96a19,20,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_ad39336678,18,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_17971c5e65,51,17
A2 SMPDB x MW-single-broadest-study,smpdb,set_cebba23029,12,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_0c94cdb580,47,4
A2 SMPDB x MW-single-broadest-study,smpdb,set_4138901fbd,40,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_2a8a0c2c46,29,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_92fd5187ca,21,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_ebe56592ba,25,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_f6749acc3e,28,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_02ce992066,26,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_6c6f6fe984,27,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_144dc4b8a3,59,8
A2 SMPDB x MW-single-broadest-study,smpdb,set_36e1adacc2,43,10
A2 SMPDB x MW-single-broadest-study,smpdb,set_3ad12c9721,39,6
A2 SMPDB x MW-single-broadest-study,smpdb,set_b2e59f9fd9,64,15
A2 SMPDB x MW-single-broadest-study,smpdb,set_12e6179242,11,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_c73206817a,27,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_7611dca40a,24,4
A2 SMPDB x MW-single-broadest-study,smpdb,set_306c9f6cd5,21,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_dcac348055,23,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_8dc114a9ed,29,8
A2 SMPDB x MW-single-broadest-study,smpdb,set_b8bafd02ba,42,6
A2 SMPDB x MW-single-broadest-study,smpdb,set_6ff8c01e5e,30,7
A2 SMPDB x MW-single-broadest-study,smpdb,set_97bf5c8dbb,58,13
A2 SMPDB x MW-single-broadest-study,smpdb,set_d8299a4fe5,37,7
A2 SMPDB x MW-single-broadest-study,smpdb,set_a84483e0f0,73,13
A2 SMPDB x MW-single-broadest-study,smpdb,set_923880e871,43,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_d968f73897,14,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_4155aad91f,29,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_d997a612d8,34,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_d786d26975,17,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_1d6e8ac05b,33,8
A2 SMPDB x MW-single-broadest-study,smpdb,set_a68d7485f6,30,6
A2 SMPDB x MW-single-broadest-study,smpdb,set_5bbb159ce1,27,9
A2 SMPDB x MW-single-broadest-study,smpdb,set_15ceb8b840,44,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_e0c210b392,61,19
A2 SMPDB x MW-single-broadest-study,smpdb,set_20f50bea95,30,4
A2 SMPDB x MW-single-broadest-study,smpdb,set_0aff08fe79,19,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_007eaa1a85,7,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_3944272443,33,9
A2 SMPDB x MW-single-broadest-study,smpdb,set_4c4dde4cee,31,4
A2 SMPDB x MW-single-broadest-study,smpdb,set_e8b09d796f,19,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_fb49fea8a3,13,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_e6f8cfb763,49,7
A2 SMPDB x MW-single-broadest-study,smpdb,set_928b2c583e,19,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_26e5cf99ef,28,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_29ebf3f3da,67,13
A2 SMPDB x MW-single-broadest-study,smpdb,set_501cd3859e,9,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_af90147001,23,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_49e86234df,10,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_dda94f81b4,9,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_32901117b9,11,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_3b7769be62,31,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_fd311e4727,10,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_5f262e7d07,42,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_e6b18b1d2f,19,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_f314f1647f,17,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_966d757772,18,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_674ec21534,18,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_a008ea69fd,24,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_bde45c348a,18,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_20adf3af55,8,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_aa627ee9ea,35,9
A2 SMPDB x MW-single-broadest-study,smpdb,set_77ee06219f,8,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_62e609c277,9,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_f4b9260b4b,20,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_e5b926ced6,19,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_4d9c07d737,12,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_6df9eeb96b,20,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_e3cebc5231,22,5
A2 SMPDB x MW-single-broadest-study,smpdb,set_e5e97c1720,9,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_0cc612debf,10,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_c04495224e,18,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_4d4c6aa3d4,19,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_f31d7f72d0,25,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_5a2792f9ed,27,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_2449669e02,57,12
A2 SMPDB x MW-single-broadest-study,smpdb,set_cc3c0c7380,4,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_04adb3a3ac,13,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_c0c8e93789,15,2
A2 SMPDB x MW-single-broadest-study,smpdb,set_72f4cd6e8d,9,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_15e079b75b,11,0
A2 SMPDB x MW-single-broadest-study,smpdb,set_056f221c55,12,1
A2 SMPDB x MW-single-broadest-study,smpdb,set_187a2777ed,21,3
A2 SMPDB x MW-single-broadest-study,smpdb,set_60b84238d1,24,5
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_6a07e89aca,17,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_1e739fc094,18,6
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_ad39336678,18,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_cebba23029,12,1
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_12e6179242,11,3
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_d968f73897,14,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_d786d26975,17,3
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_0aff08fe79,19,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_007eaa1a85,7,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_e8b09d796f,19,3
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_fb49fea8a3,13,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_928b2c583e,19,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_501cd3859e,9,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_49e86234df,10,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_dda94f81b4,9,3
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_32901117b9,11,3
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_fd311e4727,10,3
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_e6b18b1d2f,19,3
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_f314f1647f,17,1
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_966d757772,18,5
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_674ec21534,18,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_bde45c348a,18,1
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_20adf3af55,8,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_77ee06219f,8,1
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_62e609c277,9,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_e5b926ced6,19,1
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_4d9c07d737,12,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_e5e97c1720,9,3
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_0cc612debf,10,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_c04495224e,18,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_4d4c6aa3d4,19,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_cc3c0c7380,4,1
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_04adb3a3ac,13,1
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_c0c8e93789,15,2
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_72f4cd6e8d,9,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_15e079b75b,11,0
A2 SMPDB x MW-single-broadest-study :: size_lt20,smpdb,set_056f221c55,12,1
A2 SMPDB x MW-single-broadest-study :: size_20to40,smpdb,set_6cedf5e797,21,2
A2 SMPDB x MW-single-broadest-study :: size_20to40,smpdb,set_88b55fb0f6,34,5
A2 SMPDB x MW-single-broadest-study :: size_20to40,smpdb,set_62f7838c4b,27,7
A2 SMPDB x MW-single-broadest-study :: size_20to40,smpdb,set_8f14919c57,30,9
A2 SMPDB x MW-single-broadest-study :: size_20to40,smpdb,set_ee5450b2bd,29,3
A2 SMPDB x MW-single-broadest-study :: size_20to40,smpdb,set_dc3ecf91c4,26,2
