arm	variant	n_sets	r2_size_alone	spearman	sets_with_zero_hits	size_min	size_max	verdict	corpus_percentile	note
reaction-count size	C_ThomasAM_2019_c	291			291	4	205	DEGENERATE (no variance in hits) - no defensible number		per-cohort DIFFERENTIAL-ABUNDANCE mapping (FDR<0.10)
reaction-count size	A_VogtmannE_2016	419	0.0007	-0.0034	0	4	268	NOT SIZE-DOMINATED	0.2	per-cohort DETECTION mapping
reaction-count size	B_VogtmannE_2016	352	0.0102	-0.1646	0	4	205	NOT SIZE-DOMINATED	1.0	per-cohort RECOVERED-CONTRIBUTOR mapping
reaction-count size	C_VogtmannE_2016	284			284	4	205	DEGENERATE (no variance in hits) - no defensible number		per-cohort DIFFERENTIAL-ABUNDANCE mapping (FDR<0.10)
reaction-count size	A_YuJ_2015	471	0.0012	0.0138	0	4	268	NOT SIZE-DOMINATED	0.3	per-cohort DETECTION mapping
reaction-count size	B_YuJ_2015	377	0.0051	-0.0939	0	4	205	NOT SIZE-DOMINATED	0.7	per-cohort RECOVERED-CONTRIBUTOR mapping
reaction-count size	C_YuJ_2015	317	0.0167	-0.2594	195	4	205	NOT SIZE-DOMINATED	1.7	per-cohort DIFFERENTIAL-ABUNDANCE mapping (FDR<0.10)
reaction-count size	A_ZellerG_2014	448	0.0014	0.01	0	4	268	NOT SIZE-DOMINATED	0.3	per-cohort DETECTION mapping
reaction-count size	B_ZellerG_2014	359	0.0085	-0.1428	0	4	205	NOT SIZE-DOMINATED	0.9	per-cohort RECOVERED-CONTRIBUTOR mapping
reaction-count size	C_ZellerG_2014	289	0.0128	-0.2014	178	4	205	NOT SIZE-DOMINATED	1.2	per-cohort DIFFERENTIAL-ABUNDANCE mapping (FDR<0.10)
members-measured size	D_pooled_membersMeasured_vs_FDR10	324	0.7844	0.8857	172	1	932	CONFOUNDED	98.8	size = number of species-stratified instances of the pathway TESTED (pooled over 7 cohorts); hits = number significant at BH-FDR<0.10. denali's exact estimand.
members-measured size	D_pooled_membersMeasured_vs_nominal05	324	0.7514	0.9382	40	1	932	CONFOUNDED	98.0	same size; hits = number significant at nominal p<0.05 (uncorrected). Nominal, not FDR.
members-measured size	E_pooled_reactions_vs_nominal05	324	0.013	-0.2145	40	4	205	NOT SIZE-DOMINATED	1.2	size = MetaCyc reaction count; hits = nominal p<0.05 count. Reaction-size definition for comparison.
members-measured size	D_FengQ_2015_FDR10	292	0.8315	0.9032	164	1	126	CONFOUNDED	99.2	per-cohort, size = members measured, hits = FDR<0.10
members-measured size	D_FengQ_2015_nominal05	292	0.8053	0.9089	131	1	126	CONFOUNDED	98.9	per-cohort, size = members measured, hits = nominal p<0.05
members-measured size	D_ThomasAM_2018a_FDR10	293			293	1	110	DEGENERATE (no variance in hits) - no defensible number		per-cohort, size = members measured, hits = FDR<0.10
members-measured size	D_ThomasAM_2018a_nominal05	293	0.7056	0.7562	51	1	110	CONFOUNDED	97.1	per-cohort, size = members measured, hits = nominal p<0.05
members-measured size	D_ThomasAM_2018b_FDR10	280			280	1	135	DEGENERATE (no variance in hits) - no defensible number		per-cohort, size = members measured, hits = FDR<0.10
members-measured size	D_ThomasAM_2018b_nominal05	280	0.742	0.7454	189	1	135	CONFOUNDED	97.7	per-cohort, size = members measured, hits = nominal p<0.05
members-measured size	D_ThomasAM_2019_c_FDR10	291			291	1	144	DEGENERATE (no variance in hits) - no defensible number		per-cohort, size = members measured, hits = FDR<0.10
members-measured size	D_ThomasAM_2019_c_nominal05	291	0.8316	0.7583	197	1	144	CONFOUNDED	99.2	per-cohort, size = members measured, hits = nominal p<0.05
members-measured size	D_VogtmannE_2016_FDR10	284			284	1	141	DEGENERATE (no variance in hits) - no defensible number		per-cohort, size = members measured, hits = FDR<0.10
members-measured size	D_VogtmannE_2016_nominal05	284	0.7945	0.7554	31	1	141	CONFOUNDED	98.9	per-cohort, size = members measured, hits = nominal p<0.05
members-measured size	D_YuJ_2015_FDR10	317	0.8231	0.8321	195	1	144	CONFOUNDED	99.2	per-cohort, size = members measured, hits = FDR<0.10
members-measured size	D_YuJ_2015_nominal05	317	0.803	0.8575	179	1	144	CONFOUNDED	98.9	per-cohort, size = members measured, hits = nominal p<0.05
members-measured size	D_ZellerG_2014_FDR10	289	0.7956	0.839	178	1	132	CONFOUNDED	98.9	per-cohort, size = members measured, hits = FDR<0.10
members-measured size	D_ZellerG_2014_nominal05	289	0.7962	0.9138	152	1	132	CONFOUNDED	98.9	per-cohort, size = members measured, hits = nominal p<0.05
